ProcTemp,Current,EnergyCon,EnvTemp,Voltage,PowerFactor,CO2_Emissions
59.54,3.89,0.25,4.5,230.0,0.94,0.205
59.52,3.83,0.24,4.9,230.2,0.93,0.196
60.79,3.51,0.22,7.8,230.4,0.92,0.180
60.29,3.99,0.26,4.2,229.7,0.95,0.213
60.09,2.84,0.18,15.0,231.0,0.88,0.147
59.97,4.03,0.26,4.2,229.6,0.95,0.213
53.71,3.76,0.24,5.5,230.1,0.93,0.196
58.23,3.28,0.21,13.4,230.8,0.90,0.172
60.24,3.97,0.25,4.3,229.7,0.94,0.205
61.42,3.71,0.24,5.7,230.2,0.93,0.196
61.64,3.48,0.22,8.5,230.4,0.91,0.180
60.62,3.51,0.22,7.8,230.2,0.92,0.180
59.68,3.52,0.22,7.7,230.1,0.92,0.180
59.43,3.51,0.22,7.8,230.3,0.92,0.180
59.3,3.53,0.23,7.6,230.0,0.92,0.188
58.94,3.52,0.23,7.6,230.2,0.92,0.188
58.54,3.55,0.23,7.1,230.1,0.93,0.188
52.21,3.5,0.22,8.2,230.4,0.92,0.180
48.15,3.49,0.22,8.3,230.5,0.91,0.180
55.59,3.47,0.22,8.8,230.3,0.91,0.180
59.46,3.47,0.22,9.0,230.4,0.91,0.180
60.56,3.47,0.22,8.9,230.3,0.91,0.180
60.06,3.95,0.25,4.3,229.8,0.94,0.205
60.1,3.9,0.25,4.4,230.0,0.94,0.205
59.63,3.91,0.25,4.4,229.9,0.94,0.205
59.33,3.91,0.25,4.4,230.1,0.94,0.205
59.22,3.92,0.25,4.4,229.9,0.95,0.205
59.58,3.89,0.25,4.5,230.1,0.94,0.205
57.08,3.87,0.25,4.7,230.0,0.94,0.205
60.26,3.85,0.25,4.8,230.2,0.94,0.205
53.68,3.82,0.24,5.0,230.1,0.93,0.196
60.6,3.83,0.24,4.9,230.0,0.93,0.196
61.49,3.84,0.25,4.9,229.9,0.94,0.205
56.9,3.65,0.23,6.1,230.2,0.93,0.188
58.03,3.64,0.23,6.1,230.3,0.93,0.188
58.37,3.64,0.23,6.2,230.1,0.93,0.188
58.27,3.65,0.23,6.1,230.2,0.93,0.188
58.02,3.63,0.23,6.2,230.3,0.93,0.188
61.17,3.58,0.23,6.9,230.0,0.93,0.188
61.26,3.52,0.22,7.7,230.4,0.92,0.180
61.22,3.6,0.23,6.6,230.2,0.93,0.188
60.78,3.65,0.23,6.1,230.1,0.93,0.188
60.75,3.6,0.23,6.7,230.3,0.93,0.188
60.77,3.61,0.23,6.4,230.2,0.93,0.188
61.01,3.5,0.22,8.1,230.4,0.92,0.180
61.6,3.56,0.23,7.1,230.1,0.93,0.188
60.27,3.54,0.23,7.4,230.2,0.92,0.188
61.87,3.56,0.23,7.0,230.0,0.93,0.188
61.68,3.56,0.23,7.0,230.1,0.93,0.188
61.29,3.51,0.22,7.8,230.3,0.92,0.180
60.8,3.47,0.22,9.0,230.5,0.91,0.180
60.49,3.43,0.22,9.6,230.6,0.91,0.180
60.21,3.43,0.22,9.7,230.5,0.91,0.180
60.0,3.48,0.22,8.6,230.4,0.91,0.180
59.99,3.46,0.22,9.2,230.5,0.91,0.180
